date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:30	142378/142378	---M--	200	added ('OK')	image/jpeg	etag:%2269ba71ff-22c2a%22	https://nellmunene44-sys.github.io/nelismunene/testimonials.jpeg	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/testimonials.jpg	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:30	6992/6992	---M--	200	added ('OK')	image/jpeg	etag:%2269ba71ff-1b50%22	https://nellmunene44-sys.github.io/nelismunene/85f31c5127f9a7ced584be8a693668c9.jpg	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/85f31c5127f9a7ced584be8a693668c9.jpg	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:31	4365/4365	---M--	200	added ('OK')	image/png	etag:%2269ba71ff-110d%22	https://nellmunene44-sys.github.io/nelismunene/images%20(1).png	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/images%20(1).png	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:31	125115/125115	---M--	200	added ('OK')	image/jpeg	etag:%2269ba71ff-1e8bb%22	https://nellmunene44-sys.github.io/nelismunene/testimonial2.jpeg	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/testimonial2.jpg	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:32	3003/3003	---M--	200	added ('OK')	image/png	etag:%2269ba71ff-bbb%22	https://nellmunene44-sys.github.io/nelismunene/images%20(2).png	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/images%20(2).png	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:32	133429/133429	---M--	200	added ('OK')	image/jpeg	etag:%2269ba71ff-20935%22	https://nellmunene44-sys.github.io/nelismunene/testimonials3.jpeg	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/testimonials3.jpg	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:32	135405/135405	---M--	200	added ('OK')	image/jpeg	etag:%2269ba71ff-210ed%22	https://nellmunene44-sys.github.io/nelismunene/testimonials4.jpeg	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/testimonials4.jpg	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:32	6215/6215	---M--	200	added ('OK')	image/png	etag:%2269ba71ff-1847%22	https://nellmunene44-sys.github.io/nelismunene/images.png	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/images.png	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:33	22433/22433	---M--	200	added ('OK')	image/jpeg	etag:%2269ba71ff-57a1%22	https://nellmunene44-sys.github.io/nelismunene/logo-newsroom-walden.jpg	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/logo-newsroom-walden.jpg	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:33	109366/109366	---M--	200	added ('OK')	image/jpeg	etag:%2269ba71ff-1ab36%22	https://nellmunene44-sys.github.io/nelismunene/testimonials5.jpeg	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/testimonials5.jpg	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:34	135345/135345	---M--	200	added ('OK')	image/jpeg	etag:%2269ba71ff-210b1%22	https://nellmunene44-sys.github.io/nelismunene/testimonial6.jpeg	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/testimonial6.jpg	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:34	117027/117027	---M--	200	added ('OK')	image/png	etag:%2269ba71ff-1c923%22	https://nellmunene44-sys.github.io/nelismunene/unnamed.png	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/unnamed.png	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:34	6626/6626	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269ba71ff-19e2%22	https://nellmunene44-sys.github.io/nelismunene/script.js	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/script.js	(from https://nellmunene44-sys.github.io/nelismunene/)
10:49:35	26774/26774	---M-Z	200	added ('OK')	text/css	etag:W/%2269ba71ff-6896%22	https://nellmunene44-sys.github.io/nelismunene/styles.css	C:/Users/HP%20ELITEBOOK%20840%20G3/Desktop/SITES/Personal%20Website/nellmunene44-sys.github.io/nelismunene/styles.css	(from https://nellmunene44-sys.github.io/nelismunene/services.html)
